"","GEOID","medAge2014"
"1","11001000100",37.7
"2","11001000201",19.6
"3","11001000202",25.9
"4","11001000300",31.9
"5","11001000400",48.1
"6","11001000501",32.4
"7","11001000502",38.3
"8","11001000600",44.3
"9","11001000701",45.1
"10","11001000702",29.5
"11","11001000801",43.6
"12","11001000802",35.6
"13","11001000901",20.6
"14","11001000902",42.2
"15","11001001001",40
"16","11001001002",30.7
"17","11001001100",46.2
"18","11001001200",38
"19","11001001301",35.3
"20","11001001302",34.1
"21","11001001401",39.1
"22","11001001402",44.6
"23","11001001500",45.8
"24","11001001600",49.1
"25","11001001702",41.3
"26","11001001803",36
"27","11001001804",36.3
"28","11001001901",37.2
"29","11001001902",42.8
"30","11001002001",42.3
"31","11001002002",42.2
"32","11001002101",36.7
"33","11001002102",35.8
"34","11001002201",34.2
"35","11001002202",31.8
"36","11001002301",39.8
"37","11001002302",47
"38","11001002400",35.5
"39","11001002501",36.6
"40","11001002502",35.5
"41","11001002600",46.2
"42","11001002701",33.3
"43","11001002702",32.9
"44","11001002801",30.5
"45","11001002802",30
"46","11001002900",30.5
"47","11001003000",30.1
"48","11001003100",32.6
"49","11001003200",33.1
"50","11001003301",31.9
"51","11001003302",34
"52","11001003400",21.4
"53","11001003500",22.9
"54","11001003600",32.9
"55","11001003700",29.1
"56","11001003800",33
"57","11001003900",32.7
"58","11001004001",36.2
"59","11001004002",34.4
"60","11001004100",45
"61","11001004201",31.2
"62","11001004202",31.8
"63","11001004300",35
"64","11001004400",32.9
"65","11001004600",33
"66","11001004701",32.1
"67","11001004702",31.7
"68","11001004801",36.6
"69","11001004802",33.3
"70","11001004901",30.9
"71","11001004902",32.5
"72","11001005001",35.3
"73","11001005002",35.1
"74","11001005201",31.4
"75","11001005301",31.7
"76","11001005500",32.7
"77","11001005600",28.6
"78","11001005800",38.1
"79","11001005900",28.9
"80","11001006202",NA
"81","11001006400",33.1
"82","11001006500",34.3
"83","11001006600",38.5
"84","11001006700",38.6
"85","11001006801",33.3
"86","11001006802",37.5
"87","11001006804",33.9
"88","11001006900",40.9
"89","11001007000",32.3
"90","11001007100",33.1
"91","11001007200",31.1
"92","11001007301",21.9
"93","11001007304",33.4
"94","11001007401",24.5
"95","11001007403",25.4
"96","11001007404",22.2
"97","11001007406",24.5
"98","11001007407",31
"99","11001007408",28.5
"100","11001007409",27.2
"101","11001007502",29.6
"102","11001007503",24.8
"103","11001007504",26.4
"104","11001007601",46
"105","11001007603",50.6
"106","11001007604",42.6
"107","11001007605",41.2
"108","11001007703",31.7
"109","11001007707",33
"110","11001007708",36.3
"111","11001007709",47.7
"112","11001007803",42.1
"113","11001007804",39.3
"114","11001007806",41.4
"115","11001007807",36
"116","11001007808",28.1
"117","11001007809",36.9
"118","11001007901",35
"119","11001007903",38.6
"120","11001008001",36.2
"121","11001008002",35.3
"122","11001008100",34.7
"123","11001008200",28.7
"124","11001008301",32.4
"125","11001008302",31.8
"126","11001008402",39.4
"127","11001008410",32.2
"128","11001008701",37.6
"129","11001008702",35.9
"130","11001008802",39.3
"131","11001008803",24.1
"132","11001008804",38.7
"133","11001008903",35.7
"134","11001008904",41.9
"135","11001009000",54.7
"136","11001009102",28.7
"137","11001009201",33.1
"138","11001009203",29.2
"139","11001009204",32.2
"140","11001009301",40.6
"141","11001009302",38.7
"142","11001009400",42.6
"143","11001009501",23.6
"144","11001009503",42.2
"145","11001009504",44.2
"146","11001009505",48.3
"147","11001009507",47.1
"148","11001009508",36.5
"149","11001009509",40
"150","11001009601",36.8
"151","11001009602",27.2
"152","11001009603",45.8
"153","11001009604",48.1
"154","11001009700",34.4
"155","11001009801",28.2
"156","11001009802",29
"157","11001009803",31.8
"158","11001009804",30.7
"159","11001009807",38.4
"160","11001009810",26.2
"161","11001009811",26.8
"162","11001009901",51.7
"163","11001009902",46
"164","11001009903",39.1
"165","11001009904",31.2
"166","11001009905",34.9
"167","11001009906",37.4
"168","11001009907",29.3
"169","11001010100",36.3
"170","11001010200",35.8
"171","11001010300",42.9
"172","11001010400",35.6
"173","11001010500",36
"174","11001010600",30.2
"175","11001010700",28.7
"176","11001010800",20.1
"177","11001010900",23.1
"178","11001011000",47.3
"179","11001011100",42
